ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
2926a95f-922b-436e-8902-849d6d5bdced,2019-12-08T14:13:46.620Z,2019-12-08T14:47:18.000Z,mvaaltola@gmail.com,On-street parking,45.51632,9.194271,12,5040327,515173,32T,On-street parking,0.5,,2926a95f-922b-436e-8902-849d6d5bdced_1575814422.jpg
f4b251c7-7c6c-4809-9e08-d675513e96a0,2019-12-08T14:06:57.088Z,2019-12-08T14:11:14.000Z,mvaaltola@gmail.com,Width of sidewalk,45.516616,9.194983,13,5040360,515228,32T,Width of sidewalk,2.25,,f4b251c7-7c6c-4809-9e08-d675513e96a0_1575814014.jpg
859570d0-1563-49a7-85ff-3d45ace3c1e7,2019-12-08T14:06:04.139Z,2019-12-08T14:11:13.000Z,mvaaltola@gmail.com,Number of lanes,45.516632,9.194986,8,5040362,515229,32T,Number of lanes,1,,
e64bb591-ead4-4289-baf6-18604fb073f4,2019-12-08T14:05:43.876Z,2019-12-08T14:11:11.000Z,mvaaltola@gmail.com,Lighting,45.516571,9.19497,4,5040355,515227,32T,Lighting,4,,
5c946a40-11a8-435b-bf94-06c474653168,2019-12-08T14:05:11.992Z,2019-12-08T14:11:10.000Z,mvaaltola@gmail.com,On-street parking,45.516578,9.194937,11,5040356,515225,32T,On-street parking,1,,
5503f77c-930f-4395-9730-cc1852154fc8,2019-12-08T14:04:42.158Z,2019-12-08T14:11:08.000Z,mvaaltola@gmail.com,Width of sidewalk,45.516511,9.195,8,5040349,515230,32T,Width of sidewalk,1.5,,
2e62c893-b1c9-4cc0-aed3-48a6a8836500,2019-12-08T14:03:19.387Z,2019-12-08T14:11:07.000Z,mvaaltola@gmail.com,Lighting,45.516748,9.195843,5,5040375,515296,32T,Lighting,3,more on opp side,
8197fcd4-5012-4465-ba8a-7569ceb2472b,2019-12-08T14:02:46.049Z,2019-12-08T14:11:05.000Z,mvaaltola@gmail.com,Width of sidewalk,45.516836,9.195933,16,5040385,515303,32T,Width of sidewalk,2.02,,
9f5699c9-b097-47d8-950b-44e667b1c59c,2019-12-08T14:00:59.533Z,2019-12-08T14:11:04.000Z,mvaaltola@gmail.com,Curb ramps,45.517146,9.197488,10,5040420,515424,32T,Curb ramps,1,,
5c0c96c4-7a01-4c64-ae47-de6afd51bf2a,2019-12-08T14:00:34.225Z,2019-12-08T14:11:02.000Z,mvaaltola@gmail.com,Lighting,45.517147,9.197496,8,5040420,515425,32T,Lighting,0,,
5604d195-d7ef-4220-882d-379b3242e043,2019-12-08T14:00:14.228Z,2019-12-08T14:11:01.000Z,mvaaltola@gmail.com,Number of lanes,45.517142,9.19749,5,5040419,515424,32T,Number of lanes,1,,
db0d061d-e5c1-481f-a862-96910a8ad099,2019-12-08T13:59:52.932Z,2019-12-08T14:10:59.000Z,mvaaltola@gmail.com,On-street parking,45.517137,9.197523,9,5040419,515427,32T,On-street parking,1,,
06002e75-3d14-499b-bfea-29f563a9f44e,2019-12-08T13:59:13.715Z,2019-12-08T14:10:58.000Z,mvaaltola@gmail.com,Width of sidewalk,45.517161,9.197423,9,5040421,515419,32T,Width of sidewalk,2.12,,
07d96562-66ef-4808-a04c-4bffb23690b8,2019-12-08T13:57:07.130Z,2019-12-08T14:10:57.000Z,mvaaltola@gmail.com,On-street parking,45.5176,9.196031,10,5040470,515310,32T,On-street parking,0.9,,
35319c78-c885-4b6f-802b-d6a97571fa59,2019-12-08T13:56:19.202Z,2019-12-08T14:10:55.000Z,mvaaltola@gmail.com,Number of lanes,45.51759,9.195834,12,5040469,515295,32T,Number of lanes,1,,
64866f2d-76d4-4981-bc03-a30807db5206,2019-12-08T13:55:59.390Z,2019-12-08T14:10:54.000Z,mvaaltola@gmail.com,Width of sidewalk,45.517563,9.195512,4,5040466,515269,32T,Width of sidewalk,2.3,,
0b6cab77-cd56-44d4-af1c-dce392730072,2019-12-08T13:49:57.517Z,2019-12-08T14:10:52.000Z,mvaaltola@gmail.com,Lighting,45.517507,9.19553,5,5040460,515271,32T,Lighting,9,,
a9db42be-16c4-4946-93cf-137bdf24d6f4,2019-12-08T13:47:11.413Z,2019-12-08T14:10:50.000Z,mvaaltola@gmail.com,Width of sidewalk,45.517358,9.194244,7,5040443,515170,32T,Width of sidewalk,1.35,,
699759e9-9408-493b-beba-ea2641c00bec,2019-12-08T13:46:30.531Z,2019-12-08T14:10:48.000Z,mvaaltola@gmail.com,Number of lanes,45.517356,9.194246,7,5040443,515171,32T,Number of lanes,1,,
8e56a1f3-690f-45ed-929f-341971d7cf4b,2019-12-08T13:46:13.597Z,2019-12-08T14:10:51.000Z,mvaaltola@gmail.com,On-street parking,45.517355,9.194242,9,5040442,515170,32T,On-street parking,0.95,,
b8d6637f-8609-430a-a17f-150ac34e7a98,2019-12-08T13:45:55.914Z,2019-12-08T14:10:47.000Z,mvaaltola@gmail.com,Lighting,45.517362,9.19426,9,5040443,515172,32T,Lighting,4,,
d72d1a99-16fc-47a3-9da0-534f40ffbb1a,2019-12-08T13:44:27.189Z,2019-12-08T14:10:45.000Z,mvaaltola@gmail.com,Width of sidewalk,45.517587,9.193719,4,5040468,515129,32T,Width of sidewalk,2.2,,d72d1a99-16fc-47a3-9da0-534f40ffbb1a_1575812664.jpg
7a905530-a817-4815-8961-ed357ab60d81,2019-12-08T13:43:34.488Z,2019-12-08T14:10:44.000Z,mvaaltola@gmail.com,Lighting,45.517586,9.193714,5,5040468,515129,32T,Lighting,2,,
76b01791-3ccb-4bab-8970-623279632564,2019-12-08T13:43:10.725Z,2019-12-08T14:10:43.000Z,mvaaltola@gmail.com,On-street parking,45.517589,9.193716,4,5040468,515129,32T,On-street parking,1,,
2c0979bf-14f6-4736-b93b-5e16110baf6a,2019-12-08T13:42:49.618Z,2019-12-08T14:10:41.000Z,mvaaltola@gmail.com,Number of lanes,45.517664,9.193715,5,5040477,515129,32T,Number of lanes,1,,
a4bd7c89-d514-4223-98ff-d7763dfb4ed9,2019-12-08T13:42:04.510Z,2019-12-08T14:10:40.000Z,mvaaltola@gmail.com,Lighting,45.517895,9.19423,14,5040502,515169,32T,Lighting,8,,
0d9b3491-ff9f-4171-ab68-7002e66af3ab,2019-12-08T13:40:18.656Z,2019-12-08T14:10:38.000Z,mvaaltola@gmail.com,Width of sidewalk,45.517964,9.194473,4,5040510,515188,32T,Width of sidewalk,1.15,,
5ae88fa4-8c3e-4f22-adb2-17f82e8345e8,2019-12-08T13:39:31.695Z,2019-12-08T14:10:37.000Z,mvaaltola@gmail.com,On-street parking,45.517937,9.194955,5,5040507,515226,32T,On-street parking,0.95,,5ae88fa4-8c3e-4f22-adb2-17f82e8345e8_1575812369.jpg
bedfbf5e-eeb7-4dca-aa35-d2fd06598da4,2019-12-08T13:37:36.417Z,2019-12-08T14:10:35.000Z,mvaaltola@gmail.com,Width of sidewalk,45.51817,9.195692,10,5040533,515283,32T,Width of sidewalk,2,curve to junction,bedfbf5e-eeb7-4dca-aa35-d2fd06598da4_1575812254.jpg
c3b2a9bb-b1b3-4880-ae24-ed1ce445e9ae,2019-12-08T13:35:52.756Z,2019-12-08T14:10:34.000Z,mvaaltola@gmail.com,Lighting,45.51817,9.195875,6,5040533,515298,32T,Lighting,3,1 on side 2 opp side curve to intersection,
a3e1c368-87b6-4261-a10b-bcb06f8b1a80,2019-12-08T13:35:30.980Z,2019-12-08T14:10:32.000Z,mvaaltola@gmail.com,On-street parking,45.518158,9.195862,9,5040532,515297,32T,On-street parking,1,curve to intersection part,
df4c007f-69f3-42ca-b636-b92c777307f0,2019-12-08T13:33:26.213Z,2019-12-08T14:10:31.000Z,mvaaltola@gmail.com,Width of bike lane and shoulder,45.518323,9.196342,8,5040550,515334,32T,Width of bike lane and shoulder,0.4,small shoulder,df4c007f-69f3-42ca-b636-b92c777307f0_1575812004.jpg
4a81613d-a287-420a-9858-a1da59106930,2019-12-08T13:32:30.109Z,2019-12-08T14:10:30.000Z,mvaaltola@gmail.com,Width of sidewalk,45.518397,9.19635,9,5040559,515335,32T,Width of sidewalk,0,no real sidewalk,4a81613d-a287-420a-9858-a1da59106930_1575811947.jpg
c5ee8a8d-59c3-4219-b1af-1ac7fcf36588,2019-12-08T13:30:40.531Z,2019-12-08T14:10:28.000Z,mvaaltola@gmail.com,Width of sidewalk,45.518869,9.196341,8,5040611,515334,32T,Width of sidewalk,2.9,most of ns dir road,c5ee8a8d-59c3-4219-b1af-1ac7fcf36588_1575811837.jpg
bc4128cf-99d4-432c-878b-5b67255c9be8,2019-12-08T13:29:18.317Z,2019-12-08T14:10:27.000Z,mvaaltola@gmail.com,Lighting,45.518898,9.196334,10,5040614,515333,32T,Lighting,4,"4 on opp side, part of road running in north-south direction",bc4128cf-99d4-432c-878b-5b67255c9be8_1575811755.jpg
7661582f-7b44-46cc-9278-9a1cc9a55b2b,2019-12-08T13:28:08.270Z,2019-12-08T14:10:25.000Z,mvaaltola@gmail.com,On-street parking,45.518808,9.196352,5,5040604,515335,32T,On-street parking,0,0.8 on opp side,7661582f-7b44-46cc-9278-9a1cc9a55b2b_1575811685.jpg
942af0ea-803e-4e3f-9a2d-8f7ac3b64e57,2019-12-08T13:27:30.798Z,2019-12-08T14:10:24.000Z,mvaaltola@gmail.com,Number of lanes,45.518843,9.196353,6,5040608,515335,32T,Number of lanes,1,,
513e8f33-a438-4a50-838c-31a2957fc742,2019-12-08T13:23:45.075Z,2019-12-08T14:10:22.000Z,mvaaltola@gmail.com,Lighting,45.51877,9.194156,5,5040600,515163,32T,Lighting,10,,
1602f560-5bca-4121-ba35-c92346594bcc,2019-12-08T13:22:43.393Z,2019-12-08T14:10:21.000Z,mvaaltola@gmail.com,Width of sidewalk,45.51879,9.194149,10,5040602,515163,32T,Width of sidewalk,2.2,,
466a0488-dd05-41cf-bd76-96168c3ea5ce,2019-12-08T13:21:45.235Z,2019-12-08T14:10:19.000Z,mvaaltola@gmail.com,On-street parking,45.518815,9.194109,4,5040605,515160,32T,On-street parking,0,0.9 on opp side,466a0488-dd05-41cf-bd76-96168c3ea5ce_1575811302.jpg
77503b5a-ec7c-4a5a-bdb1-36380db017a1,2019-12-08T13:21:04.896Z,2019-12-08T14:10:18.000Z,mvaaltola@gmail.com,Number of lanes,45.51881,9.194065,7,5040604,515156,32T,Number of lanes,1,,
f5fd431e-3090-4744-acf7-71c9bacbb66d,2019-12-08T13:19:09.935Z,2019-12-08T14:10:15.000Z,mvaaltola@gmail.com,On-street parking,45.518483,9.192829,11,5040567,515060,32T,On-street parking,0,0.9 on opp side,f5fd431e-3090-4744-acf7-71c9bacbb66d_1575811145.jpg
2e9cac8d-75b4-4b30-93a0-5f00579e52d6,2019-12-08T13:18:10.569Z,2019-12-08T14:10:17.000Z,mvaaltola@gmail.com,Lighting,45.518501,9.192777,9,5040569,515056,32T,Lighting,2,,
b14e1621-c2a1-4dd5-a782-08f666596181,2019-12-08T13:17:37.628Z,2019-12-08T14:10:14.000Z,mvaaltola@gmail.com,Width of sidewalk,45.518552,9.192726,7,5040575,515052,32T,Width of sidewalk,1.3,,
1d93bb79-6193-4cf8-83b3-087e3b6709b9,2019-12-08T13:16:51.574Z,2019-12-08T14:10:12.000Z,mvaaltola@gmail.com,Number of lanes,45.518529,9.19269,8,5040573,515049,32T,Number of lanes,1,,
f2839d4e-b2d9-4295-8408-147a7f3442b1,2019-12-08T13:14:26.174Z,2019-12-08T14:10:11.000Z,mvaaltola@gmail.com,Buffer,45.518238,9.191941,6,5040540,514990,32T,Buffer,0.6,,f2839d4e-b2d9-4295-8408-147a7f3442b1_1575810863.jpg
85cc137c-7375-4c2b-ad92-7ff2e44fdad7,2019-12-08T13:13:24.099Z,2019-12-08T14:10:09.000Z,mvaaltola@gmail.com,Width of sidewalk,45.518168,9.192043,8,5040532,514998,32T,Width of sidewalk,2.3,,
11907c2c-2bb3-458a-830a-8758562940b0,2019-12-08T13:12:33.813Z,2019-12-08T14:10:08.000Z,mvaaltola@gmail.com,Lighting,45.518166,9.192035,7,5040532,514998,32T,Lighting,4,,
07c37fbf-be91-4790-90e0-b98b36ed6de6,2019-12-08T13:12:01.273Z,2019-12-08T14:10:06.000Z,mvaaltola@gmail.com,On-street parking,45.518177,9.192076,7,5040533,515001,32T,On-street parking,0,,
629dac05-3d18-4e25-8bed-3d589509284c,2019-12-08T13:11:41.177Z,2019-12-08T14:10:05.000Z,mvaaltola@gmail.com,Number of lanes,45.518099,9.192029,10,5040525,514997,32T,Number of lanes,1,,629dac05-3d18-4e25-8bed-3d589509284c_1575810698.jpg
2af34edf-1332-4344-a441-2d7ddce9b4c8,2019-12-08T13:08:58.722Z,2019-12-08T14:10:03.000Z,mvaaltola@gmail.com,On-street parking,45.517442,9.192343,4,5040452,515022,32T,On-street parking,0.9,,
f3b75b82-d40b-4ef0-a37b-f1566ba6dbc4,2019-12-08T13:08:31.342Z,2019-12-08T14:10:02.000Z,mvaaltola@gmail.com,Lighting,45.517326,9.192457,6,5040439,515031,32T,Lighting,2,,
71510340-2da9-4824-a403-29441b85abd2,2019-12-08T13:07:46.105Z,2019-12-08T14:10:00.000Z,mvaaltola@gmail.com,Width of sidewalk,45.51735,9.192474,6,5040442,515032,32T,Width of sidewalk,1.93,,
77b30d97-0d2a-428c-bfc7-292db51d544c,2019-12-08T13:07:18.163Z,2019-12-08T14:09:59.000Z,mvaaltola@gmail.com,Number of lanes,45.517292,9.192496,9,5040435,515034,32T,Number of lanes,1,,
6c3fb84c-3049-453f-948d-a5a682e9d928,2019-12-08T13:06:04.169Z,2019-12-08T14:09:58.000Z,mvaaltola@gmail.com,Lighting,45.516362,9.19309,9,5040332,515081,32T,Lighting,10,10 lampposts total on inner side of seg,
c3406439-4e8e-4be8-84f7-d758b81b9948,2019-12-08T13:02:59.253Z,2019-12-08T14:09:56.000Z,mvaaltola@gmail.com,On-street parking,45.515906,9.193435,5,5040281,515108,32T,On-street parking,0.9,mostly full parking along whole seg,
523aae38-dbd8-4a47-9f09-a5b496d2dcdd,2019-12-08T13:01:09.234Z,2019-12-08T14:09:55.000Z,mvaaltola@gmail.com,Buffer,45.515896,9.19342,5,5040280,515107,32T,Buffer,0,no buffer for whole seg,
a0927b78-28c2-4b93-9b4c-087cfa748d10,2019-12-08T13:00:16.898Z,2019-12-08T14:09:53.000Z,mvaaltola@gmail.com,Width of sidewalk,45.515841,9.193461,9,5040274,515110,32T,Width of sidewalk,1.93,,a0927b78-28c2-4b93-9b4c-087cfa748d10_1575810013.jpg
6e4c3ab4-5802-4c32-b05f-3880bef3c920,2019-12-08T12:58:30.682Z,2019-12-08T14:09:52.000Z,mvaaltola@gmail.com,Width of sidewalk,45.515723,9.193593,7,5040261,515120,32T,Width of sidewalk,2.89,,
f62fbaa0-ab7e-4d03-ac92-c1f19e540712,2019-12-08T12:54:52.023Z,2019-12-08T14:09:50.000Z,mvaaltola@gmail.com,Number of lanes,45.515678,9.193597,4,5040256,515120,32T,Number of lanes,1,,f62fbaa0-ab7e-4d03-ac92-c1f19e540712_1575809688.jpg
2da211cd-d679-45a3-8b84-ad8ff4b03f76,2019-12-08T14:42:00.292Z,2019-12-08T19:09:04.000Z,revnaksn@gmail.com,Curb ramps,45.517166,9.194351,32,5040421,515179,32T,Curb ramps,1,,
47bbe6f2-fedd-4668-ae42-cbd01d0ef47d,2019-12-08T14:36:26.208Z,2019-12-08T19:09:02.000Z,revnaksn@gmail.com,On-street parking,45.517197,9.193918,50,5040425,515145,32T,On-street parking,0,,
3733836d-9d29-49ff-aae7-6ed6aba55db3,2019-12-08T14:35:04.086Z,2019-12-08T19:09:01.000Z,revnaksn@gmail.com,Curb ramps,45.517197,9.193918,50,5040425,515145,32T,Curb ramps,1,,
7fd37d55-0ebc-432d-ae35-b982e3c211f5,2019-12-08T14:30:25.719Z,2019-12-08T19:08:59.000Z,revnaksn@gmail.com,On-street parking,45.517957,9.193703,6,5040509,515128,32T,On-street parking,1,,
65788eca-c26b-44f4-b79e-57d733acc6fd,2019-12-08T14:30:10.749Z,2019-12-08T19:08:58.000Z,revnaksn@gmail.com,Curb ramps,45.517952,9.193819,12,5040509,515137,32T,Curb ramps,1,,
50c09e60-439a-4f45-bf05-5c295d19ce1f,2019-12-08T14:28:34.609Z,2019-12-08T19:08:57.000Z,revnaksn@gmail.com,On-street parking,45.517845,9.193542,16,5040497,515116,32T,On-street parking,0,,50c09e60-439a-4f45-bf05-5c295d19ce1f_1575815310.jpg
05e2a936-9697-4d29-95a6-6f0d0314e562,2019-12-08T14:27:46.208Z,2019-12-08T19:08:55.000Z,revnaksn@gmail.com,Curb ramps,45.517768,9.193519,16,5040488,515114,32T,Curb ramps,1,,
b8912eae-b1bf-42b0-badc-21eb437c77fa,2019-12-08T14:23:36.594Z,2019-12-08T19:08:54.000Z,revnaksn@gmail.com,On-street parking,45.517279,9.193023,6,5040434,515075,32T,On-street parking,1,,
550f399d-b12c-4c4c-839d-6230fc714d86,2019-12-08T14:22:42.459Z,2019-12-08T19:08:53.000Z,revnaksn@gmail.com,Curb ramps,45.517332,9.193051,20,5040440,515077,32T,Curb ramps,1,,
45dd2f21-f2a5-46cd-8f16-327c94505960,2019-12-08T14:17:55.018Z,2019-12-08T19:08:51.000Z,revnaksn@gmail.com,Curb ramps,45.516029,9.193466,6,5040295,515110,32T,Curb ramps,1,,
d706538f-85bc-4a7d-89f2-27a8bf6bbfb6,2019-12-08T14:15:54.570Z,2019-12-08T19:08:50.000Z,revnaksn@gmail.com,Curb ramps,45.51544,9.1945,6,5040230,515191,32T,Curb ramps,1,,
9bd287e4-ac67-4d64-a5c7-cecc4194eec3,2019-12-08T14:13:44.220Z,2019-12-08T19:08:49.000Z,revnaksn@gmail.com,Curb ramps,45.516066,9.194421,21,5040299,515185,32T,Curb ramps,0,,
91099843-bd3c-4655-b736-119ae3b480c5,2019-12-08T14:12:45.192Z,2019-12-08T19:08:47.000Z,revnaksn@gmail.com,Curb ramps,45.516341,9.194577,6,5040330,515197,32T,Curb ramps,1,,
9a33fb0f-9cf0-4fce-8224-f9cd446ad92a,2019-12-10T14:59:54.195Z,2019-12-10T15:00:17.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.517282,9.197629,8,5040435,515435,32T,Curb ramps,6,,
79d86496-4a31-42f2-91df-edc31e89e674,2019-12-10T14:56:41.623Z,2019-12-10T15:00:16.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.517096,9.19603,16,5040414,515310,32T,Curb ramps,2,,
05fcb738-a73a-469f-bf94-a50ceef396c0,2019-12-10T14:54:34.249Z,2019-12-10T15:00:14.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.517076,9.194985,16,5040412,515228,32T,Curb ramps,4,,
b0cbeb65-b7f7-4c7e-8213-4bb519269f65,2019-12-10T14:52:52.750Z,2019-12-10T15:00:13.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.516466,9.194701,12,5040344,515206,32T,Curb ramps,3,,
85cb3faa-294e-4fb4-89f6-81e7e55535bf,2019-12-10T14:48:08.996Z,2019-12-10T15:00:11.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.518349,9.193575,12,5040553,515118,32T,Curb ramps,2,,
2396dace-9486-4030-9401-8af4bd4875da,2019-12-10T14:45:17.277Z,2019-12-10T15:00:10.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.518094,9.191835,11,5040524,514982,32T,Curb ramps,1,,
a988c471-03d6-42e5-b820-0348c6547f8d,2019-12-10T14:43:55.645Z,2019-12-10T15:00:08.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.517786,9.19211,7,5040490,515004,32T,Curb ramps,3,,
74457960-cc94-4173-9ac9-0c58d0a501c3,2019-12-10T14:42:21.469Z,2019-12-10T15:00:07.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.517767,9.19304,7,5040488,515076,32T,Curb ramps,1,,
d12688a4-209b-4967-9d65-25f5b6040644,2019-12-10T14:39:47.847Z,2019-12-10T15:00:05.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.5173,9.193159,10,5040436,515086,32T,Curb ramps,1,,
9694916c-3aa2-4ad5-b0e5-9c0cecc9fac2,2019-12-10T14:38:05.340Z,2019-12-10T15:00:04.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.516944,9.193913,6,5040397,515145,32T,Curb ramps,2,,
378b21fc-a238-45f5-94ff-451ed334c8d5,2019-12-10T14:35:57.919Z,2019-12-10T15:00:02.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.516087,9.194199,13,5040302,515167,32T,Curb ramps,0,,
9bfcf443-5dc1-4def-870a-3c6b35561d17,2019-12-10T14:33:21.470Z,2019-12-10T15:00:00.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.515835,9.19444,13,5040274,515186,32T,Curb ramps,0,,
c2311fd5-390a-42a9-bb5b-316fe57db2df,2019-12-10T14:31:10.184Z,2019-12-10T14:59:59.000Z,ozturkm.yasin@gmail.com,Curb ramps,45.515437,9.194147,13,5040229,515163,32T,Curb ramps,1,,
5c14842b-7322-4a81-aced-b184676b93a3,2019-12-08T14:44:30.290Z,2019-12-09T11:41:51.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.516607,9.194956,16,5040359,515226,32T,Width of sidewalk,2.2,,
592713d5-308e-42b9-a369-ba7dec846dd6,2019-12-08T14:41:59.153Z,2019-12-08T21:44:02.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.517337,9.194925,15,5040441,515224,32T,Width of sidewalk,1.5,,
46c67eaa-f0c0-4e1a-9a4b-c78673408213,2019-12-08T14:37:54.497Z,2019-12-08T21:44:00.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.5165,9.194391,15,5040347,515182,32T,Width of sidewalk,1.3,,
76a80ce9-52ab-49bc-b96e-7f553859468f,2019-12-08T14:36:33.572Z,2019-12-08T21:43:59.000Z,ozturkm.yasin@gmail.com,Buffer,45.517629,9.193668,55,5040473,515125,32T,Buffer,4.9,,76a80ce9-52ab-49bc-b96e-7f553859468f_1575815788.jpg
87e5d63a-53c2-4719-8877-e74fe8ca5f52,2019-12-08T14:34:56.461Z,2019-12-08T21:43:58.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.517179,9.193926,15,5040423,515146,32T,Width of sidewalk,2.75,,
2ad895b9-c555-4229-94e5-f335e4cc882e,2019-12-08T14:32:16.349Z,2019-12-08T21:43:57.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.518623,9.19357,15,5040583,515118,32T,Width of sidewalk,1.5,,
9d2ea13d-1aea-4253-b311-5580d24ef1d0,2019-12-08T14:30:03.857Z,2019-12-08T21:43:55.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.517905,9.193731,16,5040503,515130,32T,Width of sidewalk,1.3,,
6da58bed-d022-49e8-a081-43d5af9126eb,2019-12-08T14:28:32.793Z,2019-12-08T21:43:54.000Z,ozturkm.yasin@gmail.com,Buffer,45.517785,9.193531,14,5040490,515115,32T,Buffer,2,,6da58bed-d022-49e8-a081-43d5af9126eb_1575815309.jpg
884768a6-2f28-4cf0-a471-bdffe8b45c50,2019-12-08T14:27:34.441Z,2019-12-08T21:43:53.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.517782,9.193534,14,5040490,515115,32T,Width of sidewalk,1.35,,
d45e2a3e-9f25-49a9-8bd6-121b9fb7ba99,2019-12-08T14:23:42.001Z,2019-12-08T21:43:52.000Z,ozturkm.yasin@gmail.com,Buffer,45.5173,9.193034,16,5040436,515076,32T,Buffer,3.6,,d45e2a3e-9f25-49a9-8bd6-121b9fb7ba99_1575815175.jpg
d1757494-d25b-45db-b9bd-18eef5019227,2019-12-08T14:22:39.069Z,2019-12-08T21:43:50.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.517273,9.193077,14,5040433,515079,32T,Width of sidewalk,1.3,,
